Item_Code,Item_Name,Category_x,Stock,Reorder_Level,Avg_Daily_Demand,Warehouse,Stock_Status,Search_Item,Scraped_Title,Category_y,Price,Rating,Reviews,Availability,Seller,Matched_Item
SP001,Filters 1901,Filters,165,58,4,Delhi,Overstock,,,,,,,,,
SP002,Seals 8323,Tools,101,66,10,Delhi,Optimum,,,,,,,,,
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Later Card 568,Pipes,5820.17,2.3,7423.0,In Stock,Benitez Inc,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Training Available 235,Hoses,6608.95,3.8,6058.0,In Stock,"Murray, Fisher and Pitts",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Wear Become 456,Gaskets,3514.31,3.5,3405.0,Out of Stock,Allen and Sons,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Push Pay 445,Pipes,5403.23,2.3,4337.0,In Stock,Marshall-Ray,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Long Human 823,Clamps,1612.9,2.2,878.0,Out of Stock,Morales Ltd,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Machine Senior 216,Clamps,744.24,2.5,4204.0,Out of Stock,Morton Inc,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Join Lead 788,Pipes,3936.47,4.8,1306.0,Out of Stock,"Dickson, Brown and Dalton",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Call Every 229,Clamps,1336.58,4.9,7140.0,Out of Stock,Jones-Coleman,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Democrat Last 540,Hoses,6082.19,3.1,4524.0,In Stock,"Carroll, Monroe and Ryan",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Member Suddenly 333,Seals,6283.1,2.3,4818.0,In Stock,Boyer and Sons,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Probably Difficult 669,Filters,306.61,2.5,4701.0,In Stock,Fitzgerald-Moreno,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Church Fact 990,Gaskets,4167.02,3.4,832.0,In Stock,Carroll-Hampton,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Recent Remember 611,Clamps,6186.78,2.1,1962.0,In Stock,"Paul, Spencer and Walker",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Whose Collection 859,Hoses,9546.17,4.0,1933.0,Out of Stock,"Pennington, Walters and Evans",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Southern See 673,Pipes,6560.26,4.8,951.0,In Stock,Clark-Gomez,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Throughout Everyone 305,Bearings,428.38,4.7,5287.0,Out of Stock,"Gutierrez, Wilson and Day",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Run Pm 642,Bearings,3101.5,3.8,215.0,Out of Stock,Gonzalez PLC,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Determine Teacher 703,Gaskets,7211.54,3.1,2650.0,In Stock,Davenport PLC,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Success Chair 305,Hoses,9989.82,2.8,9629.0,Out of Stock,Palmer PLC,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Shoulder Final 977,Clamps,9311.32,2.2,1993.0,Out of Stock,James and Sons,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Own Though 197,Filters,9380.86,4.6,5814.0,In Stock,"French, Ruiz and Smith",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Despite Management 420,Seals,968.84,4.4,1182.0,Out of Stock,Vargas Group,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Everyone Meeting 616,Seals,4369.65,3.8,9663.0,Out of Stock,"Huff, Kirk and Villanueva",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Choose Act 480,Hoses,5607.4,4.7,4509.0,In Stock,Johnson-Thomas,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Cause Culture 404,Tools,4959.93,4.5,994.0,Out of Stock,Callahan-Williams,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Attorney Issue 194,Gaskets,5537.86,4.7,7698.0,Out of Stock,"Bush, Smith and Allen",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Teach Shoulder 988,Hoses,1725.21,2.9,5180.0,Out of Stock,"Clark, Mckay and Romero",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Like Smile 797,Pipes,6721.32,2.7,8513.0,In Stock,Gregory PLC,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Letter Society 968,Gaskets,5457.08,2.7,2593.0,In Stock,"Clark, Cardenas and Crawford",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Certainly Music 931,Hoses,2506.83,2.7,8330.0,Out of Stock,"Smith, Cunningham and Green",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Message Group 275,Filters,5526.81,4.2,1369.0,In Stock,Perry-Reese,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Different Pressure 491,Filters,4751.87,2.9,4703.0,In Stock,Ramos-Griffin,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Another Play 904,Bearings,9792.73,3.6,2233.0,In Stock,Beasley Group,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Cause Voice 501,Bearings,1911.18,2.5,6048.0,Out of Stock,Bridges-Estrada,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Assume Still 681,Clamps,1151.14,3.4,8425.0,In Stock,Baker-Bender,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Service Born 867,Clamps,7001.68,4.6,6347.0,Out of Stock,"Gill, Johnson and Moore",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Class Arrive 705,Gaskets,5134.57,4.7,8018.0,Out of Stock,Reynolds PLC,Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Care Under 845,Gaskets,3328.12,4.8,6226.0,In Stock,"Brown, Reed and Carroll",Clamps 1908
SP003,Clamps 1908,Tools,42,46,2,Pune,Understock,Clamp,Clamp - Only Beautiful 697,Clamps,9991.56,3.9,8089.0,Out of Stock,"Cooper, Gordon and Mullins",Clamps 1908
